
 num     #instances         #bytes  class name
 386:            52           3744  java.util.concurrent.ThreadPoolExecutor
 387:           233           3728  org.springframework.beans.factory.support.MethodOverrides
 388:           233           3728  org.springframework.beans.factory.config.ConstructorArgumentValues
 389:           233           3728  org.springframework.beans.factory.support.MethodOverrides
 390:           233           3728  org.springframework.beans.factory.config.ConstructorArgumentValues
 391:           155           3720  org.springframework.beans.factory.config.RuntimeBeanReference
 392:           155           3720  org.springframework.beans.factory.config.RuntimeBeanReference
 393:           116           3712  org.hibernate.tuple.entity.EntityBasedBasicAttribute
 394:            92           3680  java.util.concurrent.LinkedBlockingDeque
 395:           230           3680  [Ljava.lang.annotation.Annotation;
 396:           153           3672  org.hibernate.loader.PropertyPath
 397:           152           3648  org.apache.catalina.session.ManagerBase$SessionTiming
 398:            91           3640  sun.nio.ch.SocketAdaptor
 399:            91           3640  org.apache.coyote.http11.filters.IdentityInputFilter
 400:            65           3640  org.apache.tomcat.util.modeler.ManagedBean
 401:            90           3600  sun.misc.Cleaner
 402:            64           3584  org.springframework.web.context.request.async.StandardServletAsyncWebRequest
 403:            89           3560  org.apache.tomcat.util.buf.UEncoder
 404:            89           3560  org.apache.tomcat.util.buf.Utf8Decoder
 405:           147           3528  org.hibernate.loader.plan.exec.process.internal.ResultSetProcessorImpl
 406:           147           3528  org.hibernate.loader.plan.exec.internal.LoadQueryJoinAndFetchProcessor
 407:           147           3528  org.hibernate.loader.plan.build.internal.LoadPlanImpl
 408:           147           3528  org.hibernate.loader.plan.exec.process.internal.EntityReferenceInitializerImpl
 409:           147           3528  org.hibernate.loader.plan.build.internal.spaces.QuerySpacesImpl
 410:           218           3520  [Lorg.springframework.web.bind.annotation.RequestMethod;
 411:           220           3520  org.springframework.aop.framework.AdvisedSupport$MethodCacheKey
 412:            88           3520  sun.nio.ch.SelectionKeyImpl
 413:            88           3520  sun.java2d.loops.MaskBlit
 414:           218           3520  [Lorg.springframework.web.bind.annotation.RequestMethod;
 415:           110           3520  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 416:           146           3504  java.util.regex.Pattern$BnM
 417:           145           3480  org.apache.jasper.util.UniqueAttributesImpl
 418:            62           3472  org.springframework.validation.support.BindingAwareModelMap
 419:            24           3456  org.aspectj.weaver.ReferenceType
 420:           143           3432  org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderRowReader
 421:           143           3432  org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderReaderCollectorImpl
 422:           107           3424  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 423:           107           3424  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 424:           213           3416  [Ljava.lang.reflect.Constructor;
 425:           213           3408  java.util.regex.Pattern$BranchConn
 426:           105           3360  org.aspectj.weaver.Lint$Kind
 427:           208           3328  com.sun.org.apache.xerces.internal.util.AugmentationsImpl
 428:           138           3312  org.hibernate.property.BasicPropertyAccessor$BasicSetter
 429:           138           3312  org.hibernate.property.BasicPropertyAccessor$BasicGetter
 430:           103           3296  sun.security.x509.BasicConstraintsExtension
 431:           136           3264  java.security.AccessControlContext
 432:           199           3248  [Lorg.aspectj.weaver.ResolvedType;
 433:            45           3240  org.springframework.beans.BeanWrapperImpl
 434:            91           3232  [Lorg.apache.tomcat.util.http.ServerCookie;
 435:           134           3216  org.xml.sax.helpers.LocatorImpl
 436:           134           3216  org.springframework.http.MediaType
 437:            16           3200  com.sun.org.apache.xerces.internal.impl.XMLDTDScannerImpl
 438:            21           3192  org.hibernate.hql.internal.ast.HqlSqlWalker
 439:           196           3136  sun.reflect.generics.scope.ClassScope
 440:           196           3136  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 441:             6           3120  org.apache.catalina.core.StandardContext
 442:           130           3120  com.sun.jmx.mbeanserver.ConvertingMethod
 443:             9           3096  com.sun.org.apache.xerces.internal.impl.XMLDocumentScannerImpl
 444:            64           3072  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$Segment
 445:           192           3072  java.net.Inet4Address
 446:            64           3072  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRS
 447:            96           3072  java.util.zip.ZipCoder
 448:            16           3072  com.sun.org.apache.xerces.internal.parsers.XIncludeAwareParserConfiguration
 449:            95           3040  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 450:           126           3024  org.springframework.http.MediaType
 451:            29           3016  org.hibernate.hql.internal.ast.tree.DotNode
 452:            29           3016  org.hibernate.internal.SessionImpl
 453:            29           3016  org.hibernate.engine.internal.StatefulPersistenceContext
 454:            94           3008  org.springframework.web.servlet.mvc.condition.PatternsRequestCondition
 455:            31           3008  [[S
 456:            94           3008  org.apache.tomcat.util.log.UserDataHelper
 457:            94           3008  org.springframework.web.servlet.mvc.condition.PatternsRequestCondition
 458:           188           3008  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 459:           168           3000  [Lsun.reflect.generics.tree.ClassTypeSignature;
 460:             2           2984  [Lsun.java2d.loops.GraphicsPrimitive;
 461:            93           2976  java.io.FilePermission
 462:           185           2960  java.net.InetSocketAddress
 463:            92           2944  java.security.cert.TrustAnchor
